possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
138,0.35923526,"[0.38534984, 0.22633103, 0.0, 0.14769526, 0.24062389, 0.0, 0.0, 0.0]",3943043,768,England,2,5352,5357,Shot
136,0.29763195,"[0.18763652, 0.11832617, 0.077293254, 0.07489807, 0.10531163, 0.12631981, 0.15971382, 0.1505007]",3943043,772,Spain,2,5148,5156,Goal
60,0.25314996,"[0.0, 0.17498887, 0.10988335, 0.10450934, 0.14009078, 0.16096956, 0.17974114, 0.12981689]",3943043,772,Spain,1,2258,2270,Pass
26,0.24454069,"[0.23623595, 0.15443277, 0.09723959, 0.09250644, 0.12756357, 0.1365225, 0.15549926, 0.0]",3943043,768,England,1,873,883,Pass
134,0.24226971,"[0.19687054, 0.12808669, 0.080582164, 0.07829259, 0.12235593, 0.1387387, 0.14123182, 0.11384155]",3943043,772,Spain,2,5083,5097,Pass
58,0.23774348,"[0.20774783, 0.12715247, 0.08120392, 0.07778526, 0.10956908, 0.12922762, 0.15261741, 0.114696376]",3943043,772,Spain,1,2147,2155,Pass
9,0.23741074,"[0.26554197, 0.17065898, 0.103472285, 0.096403405, 0.0, 0.16599706, 0.19792633, 0.0]",3943043,772,Spain,1,244,258,Pass
30,0.23574062,"[0.20369509, 0.12827528, 0.079673305, 0.077132806, 0.11987048, 0.14319608, 0.14385222, 0.104304776]",3943043,772,Spain,1,1120,1128,Pass
123,0.23529752,"[0.27987826, 0.17609294, 0.111100025, 0.10408804, 0.13595836, 0.0, 0.19288233, 0.0]",3943043,772,Spain,2,4644,4660,Pass
120,0.23442753,"[0.0, 0.20825493, 0.12848207, 0.122347035, 0.16939417, 0.17765044, 0.19387141, 0.0]",3943043,768,England,2,4442,4454,Pass
24,0.20597495,"[0.24462426, 0.1528656, 0.094448574, 0.08885255, 0.121203095, 0.13600717, 0.16199881, 0.0]",3943043,772,Spain,1,817,832,Pass
81,0.19794378,"[0.1264716, 0.095534265, 0.07853404, 0.074637204, 0.10780948, 0.11929874, 0.15463674, 0.243078]",3943043,772,Spain,2,2755,2769,Goal
106,0.1771655,"[0.67011297, 0.3298871, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,2,3985,3993,Shot
75,0.17558931,"[0.64303756, 0.0, 0.35696238, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,1,2739,2741,Shot
22,0.16260754,"[0.5340427, 0.28793293, 0.1780243, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,738,741,Shot
36,0.16042049,"[0.18050829, 0.14273627, 0.086918324, 0.08246272, 0.12524751, 0.14394476, 0.14388748, 0.09429465]",3943043,772,Spain,1,1349,1364,Pass
