possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
136,0.28615808,"[0.18597503, 0.13065082, 0.07792278, 0.07445756, 0.08611483, 0.123265006, 0.18229003, 0.1393239]",3943043,772,Spain,2,5148,5156,Goal
137,0.2727203,"[0.18391532, 0.12965146, 0.07514409, 0.07376955, 0.08790043, 0.12553814, 0.19141498, 0.13266593]",3943043,768,England,2,5265,5279,Pass
69,0.27157688,"[0.16000067, 0.10472472, 0.06930727, 0.068800226, 0.08680061, 0.12710224, 0.20674562, 0.1765186]",3943043,772,Spain,1,2532,2544,Shot
123,0.25932685,"[0.18575191, 0.13058403, 0.07693262, 0.07314326, 0.09071869, 0.12952644, 0.18048985, 0.13285322]",3943043,772,Spain,2,4644,4660,Pass
26,0.2569701,"[0.18728796, 0.14100206, 0.07925794, 0.076454625, 0.08488675, 0.11904327, 0.17835748, 0.13370985]",3943043,768,England,1,873,883,Pass
9,0.25067586,"[0.18188508, 0.13186675, 0.07678248, 0.07389461, 0.09539473, 0.12339478, 0.1836445, 0.13313703]",3943043,772,Spain,1,244,258,Pass
105,0.2495134,"[0.18473203, 0.13366835, 0.07735196, 0.07515029, 0.08839788, 0.12215004, 0.18280506, 0.13574435]",3943043,772,Spain,2,3938,3945,Shot
134,0.24828412,"[0.19100305, 0.13857014, 0.08125873, 0.07744273, 0.09770915, 0.11675281, 0.18301581, 0.11424752]",3943043,772,Spain,2,5083,5097,Pass
138,0.2361789,"[0.27306566, 0.20200005, 0.10969373, 0.15880656, 0.256434, 0.0, 0.0, 0.0]",3943043,768,England,2,5352,5357,Shot
30,0.23155037,"[0.18200696, 0.13600227, 0.07893898, 0.076338656, 0.09984942, 0.12381703, 0.18924823, 0.113798484]",3943043,772,Spain,1,1120,1128,Pass
109,0.23044397,"[0.18224901, 0.13361983, 0.075783916, 0.07571226, 0.09341026, 0.1283486, 0.17940989, 0.13146634]",3943043,772,Spain,2,4084,4090,Pass
60,0.22794868,"[0.18252178, 0.13138634, 0.07611519, 0.07420429, 0.094891705, 0.12414492, 0.19336365, 0.12337212]",3943043,772,Spain,1,2258,2270,Pass
120,0.22643687,"[0.18606533, 0.13477108, 0.0764713, 0.075005606, 0.08830615, 0.12290239, 0.1808427, 0.13563547]",3943043,768,England,2,4442,4454,Pass
83,0.20644368,"[0.1699175, 0.12670119, 0.07049006, 0.06855717, 0.09091459, 0.12539262, 0.19692203, 0.15110482]",3943043,772,Spain,2,2891,2899,Shot
58,0.198996,"[0.17699982, 0.12642647, 0.074504785, 0.0721443, 0.09531197, 0.13084829, 0.19657302, 0.12719136]",3943043,772,Spain,1,2147,2155,Pass
